Headline,URL
PM accused of lying after No 10 officials caught on video joking about Christmas party,https://www.theguardian.com/politics/2021/dec/07/leaked-video-shows-no-10-officials-joking-about-holding-christmas-party
" Omicron cases ‘doubling every two to three days’ in UK, says scientist",https://www.theguardian.com/world/2021/dec/08/omicron-covid-cases-doubling-every-two-to-three-days-in-uk-says-scientist
Olaf Scholz to be voted in as chancellor in end to Merkel era,https://www.theguardian.com/world/2021/dec/08/olaf-scholz-to-be-voted-in-as-german-chancellor-as-merkel-era-ends
England skittled for just 147 by Australia in dramatic start to series,https://www.theguardian.com/sport/2021/dec/08/england-australia-ashes-report-day-one-first-test-rory-burns-first-ball-mitchell-starc
"National Trust to fell at least 30,000 trees hit by ash dieback",https://www.theguardian.com/environment/2021/dec/08/national-trust-to-fell-at-least-30000-trees-hit-by-ash-dieback
Trading halt for China developer Kaisa stokes fresh jitters,https://www.theguardian.com/world/2021/dec/08/trading-halt-for-china-developer-kaisa-stokes-fresh-jitters-in-property-sector
Australia joins diplomatic boycott over human rights,https://www.theguardian.com/australia-news/2021/dec/08/australia-joins-beijing-winter-olympics-diplomatic-boycott-over-chinas-human-rights-abuses
"UK’s anti-money laundering measures need complete reset, says report",https://www.theguardian.com/law/2021/dec/08/uks-anti-money-laundering-measures-need-complete-reset-says-report
UK ex-councillor accused of running over his wife to stand trial,https://www.theguardian.com/world/2021/dec/08/uk-man-accused-of-running-over-his-wife-to-stand-trial-in-france
‘Bizarre’ whoops and grunts raise hopes for coral reef recovery,https://www.theguardian.com/environment/2021/dec/08/whoops-and-grunts-bizarre-fish-songs-raise-hopes-for-coral-reef-recovery
Steven Spielberg on making West Side Story with Stephen Sondheim,https://www.theguardian.com/film/2021/dec/08/steven-spielberg-west-side-story-stephen-sondheim-ss1-legendary-director
"What our feline friends really think about hugs, happiness and humans",https://www.theguardian.com/lifeandstyle/2021/dec/08/the-inner-lives-of-cats-what-our-feline-friends-really-think-about-hugs-happiness-and-humans
How thousands of homes were reduced to rubble for Nairobi's new toll road,https://www.theguardian.com/global-development/2021/dec/08/how-nairobis-road-for-the-rich-resulted-in-thousands-of-homes-reduced-to-rubble
Acclaimed writers explain how they would reinvent 007,https://www.theguardian.com/film/2021/dec/08/james-bond-acclaimed-writers-explain-how-they-would-reinvent-007
Restored ditches bring birds flocking back to Norfolk wetlands,https://www.theguardian.com/environment/2021/dec/08/mud-glorious-mud-restored-ditches-bring-the-birds-flocking-back-to-norfolk-wetlands-aoe
A car-free break in Northumberland,https://www.theguardian.com/travel/2021/dec/08/wading-birds-and-wintry-walks-a-car-free-break-in-northumberland
I lost my dream job – and found unexpected success,https://www.theguardian.com/lifeandstyle/2021/dec/08/a-moment-that-changed-me-i-lost-my-dream-job-and-found-unexpected-success
Putin’s Ukraine rhetoric driven by distorted view of neighbour,https://www.theguardian.com/world/2021/dec/07/putins-ukraine-rhetoric-driven-by-distorted-view-of-neighbour
