Headline,URL
There are leaves on the line and PM’s bluster won’t get rid of them,https://www.independent.co.uk/voices/hs2-integrated-rail-plan-boris-johnson-levelling-up-b1960246.html
"Stanley Johnson, Isabel Oakeshott and the issue with the word ‘handsy’",https://www.independent.co.uk/voices/stanley-johnson-isabel-oakeshott-tweet-b1960070.html
"No, Johnson and Starmer – unparliamentary language isn’t big or clever",https://www.independent.co.uk/independentpremium/voices/boris-johnson-sleaze-keir-starmer-b1960168.html
Austria imposes lockdown and mandatory vaccinations as Covid cases spike across Europe,https://www.independent.co.uk/news/health/covid-europe-lockdown-live-vaccine-germany-latest-b1960688.html
EU welcomes UK ‘change in tone’ in Brexit discussions,https://www.independent.co.uk/politics/brexit-latest-hs2-live-boris-johnson-news-b1960705.html
Bertie Ahern urged to apologise over ‘ghetto’ Brexit comments,https://www.independent.co.uk/news/uk/politics/bertie-ahern-northern-ireland-protocol-b1960615.html
"Liverpool bomb could have been ‘unintentionally’ set off, police say",https://www.independent.co.uk/news/uk/crime/liverpool-bomb-attack-al-swealmeen-b1960703.html
"Stop criticising people on social media, culture secretary says",https://www.independent.co.uk/news/uk/politics/nadine-dorries-culture-secretary-social-media-b1960665.html
Watch the longest lunar eclipse in 580 years,https://www.independent.co.uk/space/lunar-eclipse-live-full-moon-2021-b1960257.html
Verstappen set to discover verdict over Hamilton incident,https://www.independent.co.uk/sport/motor-racing/formula1/f1-latest-news-rumours-hamilton-verstappen-verdict-today-b1960605.html
Is Netflix slowly destroying the cinematic blockbuster?,https://www.independent.co.uk/arts-entertainment/films/features/red-notice-netflix-movies-stream-b1959030.html
Stay healthy this winter with flu and Covid-19 booster vaccines,https://www.independent.co.uk/news/covid-flu-vaccines-nhs-england-b1944502.html
Levelling up hits the buffers,https://www.independent.co.uk/voices/editorials/hs2-rail-links-boris-johnson-levelling-up-b1960172.html
Can the government really process asylum seekers in a third country?,https://www.independent.co.uk/independentpremium/politics-explained/asylum-seekers-third-countries-priti-patel-b1960317.html
Denzel in Se7en?: 13 actors who regretted turning down massive films,https://www.independent.co.uk/arts-entertainment/films/features/films-actors-regret-turning-down-b1960263.html
Fans and critics react to Adele’s first album in six years ,https://www.independent.co.uk/arts-entertainment/music/news/adele-30-stream-live-reactions-b1960590.html
Hales apologises for painting face black at fancy dress party in 2009,https://www.independent.co.uk/sport/cricket/alex-hales-azeem-rafiq-england-ecb-tupac-shakur-b1960639.html
"India withdraws its controversial farm laws after year of protest, says Modi",https://www.independent.co.uk/asia/india/india-farm-laws-repealed-modi-b1960555.html
Simon Calder to host ‘Ask me anything’ live following UK travel update,https://www.independent.co.uk/travel/news-and-advice/simon-calder-red-list-questions-b1959918.html
Two children and two women die in London house fire,https://www.independent.co.uk/news/uk/home-news/bexleyheath-house-fire-children-london-b1960531.html
"Best destinations to visit in 2022, according to National Geographic",https://www.independent.co.uk/travel/news-and-advice/best-destinations-2022-travel-national-geographic-b1960616.html
Oklahoma governor stops execution of death row inmate with last-minute ruling,https://www.independent.co.uk/news/world/americas/julius-jones-update-oklahoma-execution-sentence-b1960357.html
Drivers banned from searching playlists in mobile phone crackdown,https://www.independent.co.uk/news/uk/home-news/drivers-mobile-phones-playlists-ban-b1960651.html
13-year-old boy in critical condition after being shot in the back ,https://www.independent.co.uk/news/uk/crime/birmingham-13yearold-boy-b1960679.html
Why did India object to coal ‘phase out’ in Cop26 agreement?,https://www.independent.co.uk/climate-change/news/india-cop26-coal-agreement-summit-b1959944.html
Cost of policing Extinction Rebellion’s London protests revealed,https://www.independent.co.uk/climate-change/news/extinction-rebellion-protest-met-police-b1960008.html
Hop26: Australian brewers fight climate change by feeding carbon to algae,https://www.independent.co.uk/climate-change/news/beer-carbon-algae-australia-sydney-b1960144.html
EU could ban imports of coffee and beef linked to deforestation,https://www.independent.co.uk/climate-change/news/eu-deforestation-law-could-ban-coffee-and-beef-imports-b1960093.html
Nine activists jailed for breaching road blockade ban,https://www.independent.co.uk/climate-change/news/insulate-britain-protest-jail-high-court-b1959232.html
Prince William: ‘British territories on front line of climate crisis’,https://www.independent.co.uk/climate-change/news/prince-william-british-territories-climate-b1959749.html
RAF sets record for first successful flight powered by synthetic fuel,https://www.independent.co.uk/climate-change/news/raf-flight-synthetic-fuel-first-b1958989.html
One in three think Britain’s handling of Covid damaged its reputation,https://www.independent.co.uk/independentpremium/uk-news/covid-uk-cases-reputation-boris-johnson-b1960368.html
Why François Truffaut and his work should never be forgotten,https://www.independent.co.uk/independentpremium/culture/francois-truffaut-french-new-wave-bfi-day-for-night-b1959376.html
Dürer’s Journeys may spell an end to classic blockbuster exhibitions,https://www.independent.co.uk/independentpremium/culture/durer-national-gallery-exhibition-review-b1959473.html
Zadie Smith’s The Wife of Willesden pulls its punches ,https://www.independent.co.uk/independentpremium/culture/wife-of-willesden-review-zadie-smith-b1959965.html
Gender pay gap in schools growing wider,https://www.independent.co.uk/news/education/education-news/gender-pay-gap-school-education-b1959680.html
Young Jean Lee: ‘Diversity is not a moral imperative’,https://www.independent.co.uk/independentpremium/culture/young-jean-lee-interview-southwark-playhouse-b1958542.html
‘Employers should stop asking applicants about past pay’ – report,https://www.independent.co.uk/independentpremium/employers-job-equal-pay-day-b1959645.html
Nazir Afzal thrown as Fiona Bruce calls on him first to answer question about racism,https://www.independent.co.uk/tv/news/nazir-afzal-fiona-bruce-question-v3e9b286d
Liverpool bomb attack: Burnt-out taxi removed from outside hospital ,https://www.independent.co.uk/tv/news/liverpool-hospital-bomb-taxi-removed-video-ve00322a2
Tim Paine steps down as Australia Test captain over sexting scandal,https://www.independent.co.uk/tv/sport/tim-paine-sexting-scandal-cricket-v38d5231d
Meghan shares new photo of son Archie as Ellen DeGeneres calls him ‘gentle soul’ ,https://www.independent.co.uk/tv/lifestyle/meghan-markle-archie-photo-ellen-show-vd8cf1c91
When is Black Friday 2021 and what are the best early deals?,https://www.independent.co.uk/extras/indybest/black-friday/black-friday-2021-uk-when-deals-b1928345.html
John Lewis’s Black Friday sale 2021: The best early offers to shop,https://www.independent.co.uk/extras/indybest/black-friday/john-lewis-black-friday-deals-2021-b1892093.html
Black Friday 2021 deals – live: Early UK offers from Gtech to PLT,https://www.independent.co.uk/extras/indybest/black-friday/black-friday-2021-deals-update-uk-b1959403.html
The best early Nintendo Switch Black Friday 2021 deals to shop now,https://www.independent.co.uk/extras/indybest/black-friday/nintendo-switch-black-friday-deals-uk-b1954246.html
Black Friday TV deals 2021: Best early offers to shop now,https://www.independent.co.uk/extras/indybest/black-friday/best-black-friday-tv-deals-2021-b1898269.html
Currys Black Friday deals 2021: The best prices available now,https://www.independent.co.uk/extras/indybest/black-friday/best-currys-deals-black-friday-b1954521.html
Black Friday mattress deals 2021: The best early discounts to shop now,https://www.independent.co.uk/extras/indybest/black-friday/best-black-friday-mattress-deals-2021-b1900741.html
Solskjaer enters last chance saloon at Manchester United,https://www.independent.co.uk/sport/football/manchester-united-solskjaer-ronaldo-watford-b1960336.html
How English owners turned minnows Union SG into Belgian league leaders,https://www.independent.co.uk/sport/football/union-saint-gilloise-belgium-tony-bloom-b1959510.html
Terence Crawford takes next step on his long road to greatness,https://www.independent.co.uk/sport/boxing/terence-crawford-shawn-porter-fight-title-b1958406.html
F1 news LIVE: Verstappen faces verdict over Lewis Hamilton incident ,https://www.independent.co.uk/sport/motor-racing/formula1/f1-latest-news-rumours-hamilton-verstappen-verdict-today-b1960605.html
Rafiq apologises after historical antisemitic text messages emerge,https://www.independent.co.uk/sport/cricket/azeem-rafiq-texts-antisemitism-b1960238.html
WTA threatens to pull tournaments out of China over missing Peng Shuai,https://www.independent.co.uk/sport/tennis/peng-shuai-wta-china-latest-b1960648.html
Tim Paine steps down as Australia Test captain over sexting scandal,https://www.independent.co.uk/sport/cricket/tim-paine-sexting-australia-captain-england-ashes-b1960622.html
Hales apologises for painting face black at fancy dress party in 2009,https://www.independent.co.uk/sport/cricket/alex-hales-azeem-rafiq-england-ecb-tupac-shakur-b1960639.html
Hamilton now has ‘different viewpoint’ on Verstappen incident,https://www.independent.co.uk/sport/motor-racing/formula1/lewis-hamilton-max-verstappen-valtteri-bottas-red-bull-honda-b1960201.html
Williams expresses concern about China’s Peng,https://www.independent.co.uk/sport/tennis/serena-williams-shuai-peng-china-b1960411.html
Sign up to The Independent’s free Sports Brief newsletter ,https://www.independent.co.uk/sport/the-independent-free-sport-newsletter-b1892215.html
England pack ready to shatter ‘weak’ perception against South Africa,https://www.independent.co.uk/sport/eddie-jones-england-south-african-joe-marchant-rassie-erasmus-b1960217.html
"Best mattress 2021: Memory foam, pocket sprung and hybrids reviewed",https://www.independent.co.uk/extras/indybest/house-garden/mattresses/best-mattress-a6950396.html
12 best cordless vacuum cleaners for hassle-free hoovering,https://www.independent.co.uk/extras/indybest/house-garden/vacuum-cleaners/best-cordless-vacuum-cleaners-reviews-uk-under-100-for-pet-hair-stairs-hard-floors-dyson-a9617861.html
10 best electric toothbrushes that keep teeth healthy and bright,https://www.independent.co.uk/extras/indybest/gadgets-tech/best-electric-toothbrushes-a9679161.html
10 best pillows that provide comfort and support,https://www.independent.co.uk/extras/indybest/house-garden/bedroom/best-pillows-firm-neck-support-shoulder-pain-back-sleepers-side-memory-foam-cooling-a9678086.html
12 best Bluetooth speakers for every budget,https://www.independent.co.uk/extras/indybest/gadgets-tech/audio/best-bluetooth-speaker-portable-uk-b1775584.html
Best VPN services in the UK for streaming and security in 2021,https://www.independent.co.uk/extras/indybest/gadgets-tech/best-vpn-free-paid-iphone-android-streaming-netflix-mac-windows-torrenting-b1811919.html
10 failsafe Christmas presents for everyone on your list this year ,https://www.independent.co.uk/extras/lifestyle/christmas-gift-guide-b1953136.html
Adele licks her wounds on risky divorce album 30,https://www.independent.co.uk/arts-entertainment/music/reviews/adele-30-album-review-b1958736.html
Will Smith is a true movie star in King Richard,https://www.independent.co.uk/arts-entertainment/films/reviews/king-richard-review-will-smith-b1960202.html
Ghostbusters: Afterlife is an ethically dubious nostalgia trip,https://www.independent.co.uk/arts-entertainment/films/reviews/ghostbusters-afterlife-review-b1959984.html
Fans and critics react to Adele’s first album in six years ,https://www.independent.co.uk/arts-entertainment/music/news/adele-30-stream-live-reactions-b1960590.html
Caitlyn Jenner lets slip secret about I’m a Celeb eating challenges,https://www.independent.co.uk/arts-entertainment/tv/im-a-celebrity-2021/im-a-celebrity-caitlyn-jenner-eating-food-challenges-b1960755.html
Salma Hayek on filming ‘mortifying’ mud bath scene with Lady Gaga,https://www.independent.co.uk/arts-entertainment/films/news/salma-hayek-lady-gaga-mud-bath-house-of-gucci-b1960711.html
Cynthia Erivo will replace Craig Revel Horwood on Strictly this week,https://www.independent.co.uk/arts-entertainment/tv/news/strictly-cynthia-erivo-craig-revel-horwood-b1960695.html
Decision to move Banksy mural from Welsh town to England sparks row,https://www.independent.co.uk/arts-entertainment/art/news/banksy-seasons-greetings-wales-b1960692.html
